card_no,drug_name,drug_company,drug_brand,nhs_number,available_cities,store_phone,user_email_address,user_name,user_spoken_language,user_gender,purchase_date
30582562621384,FAIR and SQUARE ANTIBACTERIAL HAND SANITIZER with ALOE VERA,"Davion, Inc",Bite Beauty SPF 15 Sheer Balm,8113524401,Waegwan,(257) 4862471,jskillanders29@netlog.com,Joellyn Skillanders,Croatian,F,2022-02-15
6396234031089232,SEROQUEL,"PD-Rx Pharmaceuticals, Inc.",ANTISEPTIC SKIN CLEANSER,1823175112,El Realejo,(619) 4341492,mquantrill2a@dell.com,Marinna Quantrill,French,F,2022-08-23
5108756888128474,SEPHORA CC Care Color SPF 20 sunscreen,S+,Methergine,5684176992,Koba,(831) 4820690,aswindall2b@nifty.com,Alvinia Swindall,Burmese,F,2022-04-25
4017956553465,Alcohol Prep Pad,"YIWU HAODING MEDICAL CO.,LTD",Arthritis,3444352247,Líbano,(851) 7362443,joloman2c@adobe.com,Jennee Oloman,Tswana,M,2021-10-13
4913608575320880,Sprix,"H.J. Harkins Company, Inc.",Gabapentin,6083321670,Saint-Quentin-en-Yvelines,(277) 8113876,ffarmar2d@ebay.com,Fons Farmar,Somali,M,2021-10-25
5511203808055561,Tekturna,Novartis Pharmaceuticals Corporation,topiramate,6475003255,Yangfang,(618) 7204831,fardy2e@marriott.com,Faina Ardy,Hebrew,M,2022-03-20
6706375089306271285,"Molds, Rusts and Smuts, Alternaria tenuis",Jubilant HollisterStier LLC,Cesamet,0811172783,Yasinya,(521) 5396037,rassinder2f@harvard.edu,Rogers Assinder,Kannada,F,2021-12-04
503810273476633694,SaniFoam,Genesan Systems,Enalapril Maleate,8659718615,Cibitung,(799) 1980392,amunt2g@flavors.me,Annie Munt,Mongolian,F,2022-06-02
3549125506066544,Pier 1 Imports Iced Cookie Anti-Bacterial Hand Sanitizer,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,ABILIFY,8366067475,Épinal,(500) 7498014,nmcvane2h@yandex.ru,Natala McVane,Thai,F,2021-10-08
3540982190310748,AMITRIPTYLINE HYDROCHLORIDE,STAT Rx USA LLC,Triazolam,3357602946,Valeirinha,(711) 6085077,cskittles2i@japanpost.jp,Carmelita Skittles,Tsonga,M,2021-10-24
4844802786085036,Restless Leg Symptom Relief,King Bio Inc.,Pain Reileving Herbal Oil,9884315116,Medicine Hat,(255) 4002428,mbarents2j@army.mil,Mariska Barents,Japanese,M,2022-06-24
374288761241685,Strattera,"Physicians Total Care, Inc.",Childrens,4725126217,Esmeraldas,(371) 3209559,smacieiczyk2k@ocn.ne.jp,Shirl Macieiczyk,Marathi,F,2022-03-11
3565503463114771,Enviro,"Deseret Biologicals, Inc.",Hydrochlorothiazide,0562883487,Astana,(409) 1682641,swhayman2l@deviantart.com,Saunders Whayman,Lao,M,2022-06-04
3567237931714379,Salmonella,Apotheca Company,Loratadine,2246171113,Changxi,(219) 8037721,bkeighly2m@msu.edu,Benny Keighly,Bosnian,F,2022-04-05
374622851396589,LBEL COULEUR LUXE AMPLIFIER XP,Ventura International LTD.,Ramipril,9822300166,Kihniö,(466) 9980272,dwadman2n@1688.com,Dougie Wadman,Albanian,F,2022-04-21
30434020411497,Pleo Alb,Sanum Kehlbeck GmbH & Co. KG,Paroxetine Hydrochloride,2090665076,Baoping,(738) 3181610,lohare2o@chronoengine.com,Lynn O'Hare,Czech,M,2022-02-09
4052986777901207,Metformin Hydrochloride,Teva Pharmaceuticals USA Inc,BOTRYTIS CINEREA,7204077946,Chotcza,(499) 9172811,mwheal2p@cdbaby.com,Moshe Wheal,Quechua,M,2022-01-20
6771811025578372,Pre/Post Surgery,Apotheca Company,ANTIBACTERIAL FOAMING,4711449582,Carrazeda de Ansiães,(367) 2211915,hlanders2q@example.com,Haskel Landers,Swahili,F,2021-11-06
5596732513438736,Methenamine Mandelate,"Edenbridge Pharmaceuticals, LLC",ULORIC,1369876270,Tân Hòa,(781) 9037222,dropkins2r@uiuc.edu,Doloritas Ropkins,Croatian,M,2022-06-26
5048376012722275,Herbal UTAPLAS.TN,"Albert Max, Inc.",RISPERDAL CONSTA,9614038950,Ngala,(117) 8067041,sdudenie2s@nature.com,Salaidh Dudenie,Arabic,M,2022-06-15
3583025049675909,Cold-EEZE,"ProPhase Labs, Inc.",healthy accents sleeptime,6252242608,Mistrató,(606) 7427855,bbeckenham2t@fc2.com,Brynne Beckenham,Yiddish,F,2022-05-14
201867661465269,Diflorasone Diacetate,E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.,HYDRALAZINE HYDROCHLORIDE,0265749972,Masingbi,(495) 9475932,lfazan2u@nsw.gov.au,Laryssa Fazan,Malayalam,F,2022-03-27
4041377098875706,Ocean Potion Quick Dry SPF 70 Sunscreen,"Sun & Skin Care Research, Inc",CEFADROXIL,7819362642,Telč,(651) 8509544,vdinnies2v@facebook.com,Vanya Dinnies,Yiddish,F,2022-05-04
4041598091874,Gentle Eczema Balm,"Skinfix, Inc.",Sertraline Hydrochloride,3530410748,Mġarr,(110) 5812113,aboddice2w@sohu.com,Ariana Boddice,Indonesian,M,2021-09-18
6706961616141129672,Vitamin K1,"General Injectables & Vaccines, Inc",CLONIDINE HYDROCHLORIDE,5836550417,Masjid,(640) 5831574,geykelhof2x@senate.gov,Gideon Eykelhof,Sotho,F,2021-12-10
67637273652840144,Antispetic,"Safeway, Inc",Duck Feathers,7077881784,Sedlarevo,(826) 7848928,jduiged2y@cyberchimps.com,Jacquenetta Duiged,Tajik,F,2022-08-01
3565443600580974,FEIX,SPAI-SONS PHAMACEUTICAL INTERNATIONAL COSMETICS,Maxixum Security Gel Toothpaste,1384404988,Matangshan,(238) 3420051,vloseke2z@va.gov,Vincent Loseke,Māori,F,2022-03-17
3579516441955788,Dr. Whitiss (8.3%),"Nibec Co., Ltd",Indocyanine green,6709386058,Waitangi,(295) 7616654,rabotson30@fema.gov,Ruddie Abotson,Bosnian,M,2022-04-11
3545221214156521,Fusilev,"Spectrum Pharmaceuticals, Inc.",Blueberry,8358336721,Fengjiang,(700) 3923405,mantoniutti31@jiathis.com,Mufi Antoniutti,Portuguese,M,2022-04-19
4913589145820130,Metformin Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC",HEMORRHOIDS,3048605878,Vel’sk,(411) 3813395,jtriggle32@mac.com,Jay Triggle,Dari,F,2022-05-31
3569113005299654,PRILOSEC,AstraZeneca LP,Venoforce,9130260302,Seltjarnarnes,(137) 6253730,runderhill33@bigcartel.com,Robin Underhill,Yiddish,F,2021-11-03
36800677007107,Lorazepam,A-S Medication Solutions LLC,Castor Oil,0788542826,Ribeira Grande,(122) 8631019,ggrantham34@amazonaws.com,Garreth Grantham,Fijian,F,2022-01-08
36416410748251,Avail Lip Balm with Sunscreen,Emeis Cosmetics Pty Ltd,Isoniazid,8759470437,Langtad,(770) 4856585,hmorilla35@surveymonkey.com,Haily Morilla,Northern Sotho,F,2022-05-20
3543242923711424,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","Nexgen Pharma, Inc.",SIMVASTATIN,0741839997,Banjar Triwangsakeliki,(151) 4459815,abuckam36@comcast.net,Artemis Buckam,Thai,F,2021-11-11
5204468260191806,ATACAND,AstraZeneca LP,Lorazepam,5357687854,Baishan,(399) 1063638,pscarce37@nps.gov,Pembroke Scarce,Kannada,F,2022-04-10
4936012739678397050,Moisture Therapy,"Avon Products, Inc.",Ibuprofen,2344553118,Zaysan,(874) 9235825,schandlar38@dyndns.org,Sheela Chandlar,German,F,2022-06-06
3541050574736026,Eczema and Psoriasis Therapy,Sundial Group LLC,STOOL SOFTENER DOCUSATE SODIUM 50 MG,9970636413,Jiangpu,(505) 1280268,tvasyuchov39@newyorker.com,Tully Vasyuchov,Tok Pisin,F,2021-10-27
6394416205112922,Care One Pain Relief,American Sales Company,Benztropine Mesylate,4346898327,Clermont-Ferrand,(620) 8108987,swoodford3a@columbia.edu,Shandra Woodford,Telugu,M,2022-05-16
5602255657108701,MECLIZINE HYDROCHLORIDE,"Physicians Total Care, Inc.",Oxycodone Hydrochloride,8755797350,Palmeira das Missões,(900) 7697150,mpozzi3b@sfgate.com,Milt Pozzi,Irish Gaelic,F,2021-11-25
5002357784825458,Rite Aid RENEWAL Sport,RITE AID CORPORATION,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,3291566807,Colima,(254) 2425054,acobley3c@privacy.gov.au,Ardene Cobley,Tajik,M,2021-09-11
30312763808089,SHISEIDO UV PROTECTIVE COMPACT (REFILL),SHISEIDO AMERICAS CORPORATION,Gabapentin,6843213839,Shigony,(329) 8403806,fduffil3d@google.com.br,Fredi Duffil,Kazakh,M,2021-10-21
3581248215798626,medroxyprogesterone acetate,Greenstone LLC,amoxicillin and clavulanate potassium,5281996258,Xinzha,(412) 6375016,imarchent3e@tiny.cc,Iris Marchent,Montenegrin,F,2022-05-05
201943800780833,GBG AloeGel Instant Hand Sanitizer,HealthLink,Night Time Cough Cherry,9806744128,Haokou,(622) 8733335,bluty3f@com.com,Barbi Luty,Aymara,M,2022-03-10
3579313923498366,Dry Eyes,Cardinal Health,IBUPROFEN,1636658873,Hengjie,(667) 6243341,gcarneck3g@ycombinator.com,Guenevere Carneck,Irish Gaelic,F,2022-07-29
3558048486015190,HYDROCORTISONE,North Safety Products,Dove,6909961633,Beau Vallon,(694) 2774900,hskelington3h@unesco.org,Heriberto Skelington,Montenegrin,F,2022-03-12
3568725656933025,ThyroShield,Arco Pharmaceuticals LLC,Simethicone Cherry Flavored Chewable,1472217055,Strelka,(107) 6943395,mworsalls3i@behance.net,Malinde Worsalls,Tajik,M,2022-01-17
3579353889586416,Oxygen,Camelot Healthcare Management Inc. dba Suncare Respiratory Services,"Pollens - Trees, Elm, American Ulmus americana",7328109319,Puteaux,(597) 6046400,sbault3j@ft.com,Skye Bault,Assamese,F,2022-05-09
201648708450310,Erythromycin,Cardinal Health,Montelukast Sodium,1851117326,Vikhorevka,(414) 5430434,wscrogges3k@chicagotribune.com,Web Scrogges,Korean,M,2021-11-12
3586206089268659,Etodolac,Teva Pharmaceuticals USA Inc,Lorazepam,9078646675,Düsseldorf,(836) 8301587,jskeffington3l@bbc.co.uk,Jedidiah Skeffington,Gagauz,F,2022-08-13
30553392132793,Sanafitil Talco,"ZURICH MEDICAL LABS, LLC",Bupropion Hydrochloride,3105680500,Böhöt,(836) 1156544,aallchorne3m@newyorker.com,Aida Allchorne,Greek,M,2022-06-09
5038210320967177,SAFEWAY CARE,SAFEWAY INC,Telmisartan and Amlodipine,9896539847,Biao,(563) 7606518,aletertre3n@woothemes.com,Aron Letertre,Hiri Motu,F,2022-05-19
4041596901369413,DIORSNOW BB Creme 020 White Reveal UV Protection Sunscreen Broad Spectrum SPF 50,Parfums Christian Dior,Sani Soft,4766231899,Pingshi,(384) 4134253,lvinden3o@g.co,Licha Vinden,Italian,F,2021-12-05
670668916279235188,LBEL Couleur Luxe Rouge Amplifier XP amplifying SPF 15,Ventura Corporation LTD,"Pollens - Weeds and Garden Plants, Cocklebur Xanthium strumarium",7427766415,Hoorn,(258) 3509550,tpolycote3p@bloomberg.com,Tabby Polycote,Arabic,M,2022-05-14
3584063000048641,Skin So Soft Fresh and Smooth,"Avon Products, Inc.",Anti-Bacterial Hand,3564336664,Yangmiao,(217) 4042355,cmaltby3q@taobao.com,Codi Maltby,Swedish,F,2022-01-01
5602225466235037,Dolce and Gabbana The Lift Foundation Soft Tan 160,Procter & Gamble Manufacturing Company,ShopRite Infants Ibuprofen,5408543188,Zhongzhou,(409) 4393653,omaharry3r@artisteer.com,Othelia Maharry,Tamil,F,2022-06-29
